timestamp,open,high,low,close,volume
2026-02-04 10:15:00+00:00,76145.0,76225.7,76113.0,76116.0,96.935016
2026-02-04 10:30:00+00:00,76116.0,76329.2,76106.5,76264.2,131.789343
2026-02-04 10:45:00+00:00,76264.2,76333.3,76229.4,76295.4,144.849648
2026-02-04 11:00:00+00:00,76297.0,76297.0,75741.2,75821.0,236.799524
2026-02-04 11:15:00+00:00,75821.0,76068.1,75673.9,75862.9,173.302007
2026-02-04 11:30:00+00:00,75862.9,76243.9,75855.4,76029.9,159.246895
2026-02-04 11:45:00+00:00,76034.9,76206.0,75979.3,76017.0,157.896925
2026-02-04 12:00:00+00:00,76017.0,76252.7,76015.1,76117.1,182.922542
2026-02-04 12:15:00+00:00,76117.1,76270.7,76005.2,76082.6,122.253111
2026-02-04 12:30:00+00:00,76077.3,76264.0,76057.0,76176.7,177.159718
2026-02-04 12:45:00+00:00,76176.7,76202.5,76077.1,76187.8,120.16494
2026-02-04 13:00:00+00:00,76187.8,76190.0,76070.4,76117.3,170.502748
2026-02-04 13:15:00+00:00,76117.3,76132.5,75769.3,75853.3,239.276754
2026-02-04 13:30:00+00:00,75853.3,75947.3,75293.0,75355.4,245.157404
2026-02-04 13:45:00+00:00,75355.3,75442.2,74864.5,74870.8,388.557375
2026-02-04 14:00:00+00:00,74868.6,75351.2,74800.0,75344.3,341.13407
2026-02-04 14:15:00+00:00,75344.3,75570.7,75217.2,75293.1,218.850176
2026-02-04 14:30:00+00:00,75293.2,75766.2,74673.3,75200.0,374.399207
2026-02-04 14:45:00+00:00,75200.0,75517.0,74244.8,74346.0,279.534883
2026-02-04 15:00:00+00:00,74346.0,75090.8,73846.8,74848.3,426.429106
2026-02-04 15:15:00+00:00,74848.3,75324.7,74500.0,74910.5,321.346978
2026-02-04 15:30:00+00:00,74910.5,74991.8,73786.5,74354.0,316.562209
2026-02-04 15:45:00+00:00,74355.0,74440.5,73873.0,74124.0,255.130754
2026-02-04 16:00:00+00:00,74127.5,74209.3,73584.2,73883.1,272.750847
2026-02-04 16:15:00+00:00,73884.0,74244.0,73382.9,74149.2,286.869982
2026-02-04 16:30:00+00:00,74144.0,74230.2,73085.9,73106.7,277.606591
2026-02-04 16:45:00+00:00,73106.7,73879.9,73067.1,73630.1,266.638064
2026-02-04 17:00:00+00:00,73630.1,73848.6,72813.1,73595.6,300.344216
2026-02-04 17:15:00+00:00,73595.7,73834.8,72400.0,72471.3,380.21458
2026-02-04 17:30:00+00:00,72471.3,72954.5,72163.5,72762.1,462.827783
2026-02-04 17:45:00+00:00,72762.1,72916.6,72266.3,72566.3,285.807629
2026-02-04 18:00:00+00:00,72566.3,73275.9,72259.2,72846.3,322.726174
2026-02-04 18:15:00+00:00,72846.4,73585.7,72636.8,73414.4,232.587363
2026-02-04 18:30:00+00:00,73414.4,74138.5,73272.1,73994.4,428.429047
2026-02-04 18:45:00+00:00,73993.5,74011.3,73387.2,73420.3,266.564822
2026-02-04 19:00:00+00:00,73418.0,73927.2,73387.2,73530.6,281.602929
2026-02-04 19:15:00+00:00,73530.5,73768.3,73080.2,73159.8,241.750494
2026-02-04 19:30:00+00:00,73159.7,73627.8,73030.1,73595.9,240.442662
2026-02-04 19:45:00+00:00,73595.9,74011.3,73430.2,73917.0,206.733349
