timestamp,open,high,low,close,volume
2026-02-04 10:15:00+00:00,2254.62,2260.26,2253.59,2255.85,1342.8919
2026-02-04 10:30:00+00:00,2255.85,2262.66,2255.52,2259.82,1733.6395
2026-02-04 10:45:00+00:00,2259.83,2264.29,2258.41,2260.73,966.4725
2026-02-04 11:00:00+00:00,2260.73,2261.39,2226.61,2233.78,9258.0205
2026-02-04 11:15:00+00:00,2233.77,2246.35,2228.01,2240.74,4590.1444
2026-02-04 11:30:00+00:00,2240.77,2267.26,2238.28,2254.96,5244.8482
2026-02-04 11:45:00+00:00,2255.04,2260.96,2251.64,2254.92,2856.9032
2026-02-04 12:00:00+00:00,2254.89,2258.68,2251.53,2254.72,2275.5036
2026-02-04 12:15:00+00:00,2254.75,2263.18,2232.55,2235.0,3083.2625
2026-02-04 12:30:00+00:00,2234.96,2245.18,2231.81,2241.38,5183.8528
2026-02-04 12:45:00+00:00,2241.37,2247.08,2237.09,2244.2,1909.713
2026-02-04 13:00:00+00:00,2244.17,2245.96,2237.93,2241.53,2271.4115
2026-02-04 13:15:00+00:00,2241.53,2243.95,2227.26,2234.4,5175.3131
2026-02-04 13:30:00+00:00,2234.41,2236.51,2209.19,2212.56,5251.7535
2026-02-04 13:45:00+00:00,2212.56,2217.47,2197.24,2198.61,5854.1527
2026-02-04 14:00:00+00:00,2198.53,2208.78,2192.04,2203.76,4735.586
2026-02-04 14:15:00+00:00,2203.75,2209.78,2199.91,2202.7,2801.2347
2026-02-04 14:30:00+00:00,2202.7,2225.99,2177.14,2199.1,6344.6708
2026-02-04 14:45:00+00:00,2199.09,2213.38,2168.61,2171.86,5553.0561
2026-02-04 15:00:00+00:00,2172.02,2188.84,2150.61,2178.8,9681.5101
2026-02-04 15:15:00+00:00,2178.42,2197.5,2164.09,2181.77,4214.6566
2026-02-04 15:30:00+00:00,2181.77,2185.0,2136.55,2156.49,6237.222
2026-02-04 15:45:00+00:00,2156.49,2161.63,2142.21,2151.74,5971.7592
2026-02-04 16:00:00+00:00,2151.9,2160.96,2128.09,2144.18,4654.1449
